// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc
// command took 3.01s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc
// command took 5.69s and exited with 0
// ***** Done, took 00:00:08 (8.91 sec)   *****
// Found 6 benchmarks:
//   MappingBenchmarks.ManualMapOpFor: DefaultJob
//   MappingBenchmarks.ExpressMapper: DefaultJob
//   MappingBenchmarks.AutoMapper: DefaultJob
//   MappingBenchmarks.MapsterAdaptWithoutConfig: DefaultJob
//   MappingBenchmarks.MapsterAdaptWithConfig: DefaultJob
//   MappingBenchmarks.MapsterAdaptToType: DefaultJob

// **************************
// Benchmark: MappingBenchmarks.ManualMapOpFor: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ce406b45-7557-4458-8f12-b15d7628b2cc.dll" --benchmarkName "MappingExperiments.MappingBenchmarks.ManualMapOpFor" --job "Default" --benchmarkId 0 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.3 (CoreCLR 5.0.321.7212, CoreFX 5.0.321.7212), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 737600.00 ns, 737.6000 us/op
WorkloadResult  13: 1 op, 14200.00 ns, 14.2000 us/op
WorkloadResult  14: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadResult  15: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadResult  16: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadResult  17: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadResult  18: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadResult  19: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadResult  20: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadResult  21: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadResult  22: 1 op, 15300.00 ns, 15.3000 us/op
WorkloadResult  23: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadResult  24: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadResult  25: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadResult  26: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadResult  27: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult  28: 1 op, 15900.00 ns, 15.9000 us/op
WorkloadResult  29: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadResult  30: 1 op, 8900.00 ns, 8.9000 us/op
WorkloadResult  31: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadResult  32: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult  33: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadResult  34: 1 op, 9800.00 ns, 9.8000 us/op
WorkloadResult  35: 1 op, 9700.00 ns, 9.7000 us/op
WorkloadResult  36: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadResult  37: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadResult  38: 1 op, 9300.00 ns, 9.3000 us/op
WorkloadResult  39: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadResult  40: 1 op, 7200.00 ns, 7.2000 us/op
WorkloadResult  41: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadResult  42: 1 op, 7300.00 ns, 7.3000 us/op
WorkloadResult  43: 1 op, 5600.00 ns, 5.6000 us/op
WorkloadResult  44: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult  45: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadResult  46: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadResult  47: 1 op, 10600.00 ns, 10.6000 us/op
WorkloadResult  48: 1 op, 5700.00 ns, 5.7000 us/op
WorkloadResult  49: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadResult  50: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadResult  51: 1 op, 15000.00 ns, 15.0000 us/op
WorkloadResult  52: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadResult  53: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadResult  54: 1 op, 15600.00 ns, 15.6000 us/op
WorkloadResult  55: 1 op, 10100.00 ns, 10.1000 us/op
WorkloadResult  56: 1 op, 13600.00 ns, 13.6000 us/op
WorkloadResult  57: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadResult  58: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadResult  59: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadResult  60: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadResult  61: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult  62: 1 op, 9800.00 ns, 9.8000 us/op
WorkloadResult  63: 1 op, 7800.00 ns, 7.8000 us/op
WorkloadResult  64: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadResult  65: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadResult  66: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadResult  67: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadResult  68: 1 op, 6600.00 ns, 6.6000 us/op
WorkloadResult  69: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadResult  70: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadResult  71: 1 op, 8800.00 ns, 8.8000 us/op
WorkloadResult  72: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadResult  73: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadResult  74: 1 op, 9700.00 ns, 9.7000 us/op
WorkloadResult  75: 1 op, 13800.00 ns, 13.8000 us/op
WorkloadResult  76: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadResult  77: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadResult  78: 1 op, 13300.00 ns, 13.3000 us/op
WorkloadResult  79: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadResult  80: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult  81: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadResult  82: 1 op, 12800.00 ns, 12.8000 us/op
WorkloadResult  83: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadResult  84: 1 op, 16600.00 ns, 16.6000 us/op
WorkloadResult  85: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadResult  86: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadResult  87: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadResult  88: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadResult  89: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  90: 1 op, 15600.00 ns, 15.6000 us/op
WorkloadResult  91: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadResult  92: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadResult  93: 1 op, 14600.00 ns, 14.6000 us/op
WorkloadResult  94: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  95: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadResult  96: 1 op, 14800.00 ns, 14.8000 us/op
WorkloadResult  97: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  98: 1 op, 12800.00 ns, 12.8000 us/op
WorkloadResult  99: 1 op, 11700.00 ns, 11.7000 us/op
GC:  0 0 0 360 1
Threading:  0 0 1

// AfterAll
// Benchmark Process 10000 has exited with code 0

Mean = 11.654 μs, StdErr = 0.336 μs (2.88%), N = 99, StdDev = 3.342 μs
Min = 4.500 μs, Q1 = 9.200 μs, Median = 11.400 μs, Q3 = 14.400 μs, Max = 19.300 μs
IQR = 5.200 μs, LowerFence = 1.400 μs, UpperFence = 22.200 μs
ConfidenceInterval = [10.514 μs; 12.793 μs] (CI 99.9%), Margin = 1.139 μs (9.78% of Mean)
Skewness = 0.19, Kurtosis = 2.38, MValue = 4.26

// **************************
// Benchmark: MappingBenchmarks.ExpressMapper: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ce406b45-7557-4458-8f12-b15d7628b2cc.dll" --benchmarkName "MappingExperiments.MappingBenchmarks.ExpressMapper" --job "Default" --benchmarkId 1 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.3 (CoreCLR 5.0.321.7212, CoreFX 5.0.321.7212), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 759600.00 ns, 759.6000 us/op
WorkloadJitting  1: 1 op, 425946600.00 ns, 425.9466 ms/op

WorkloadWarmup   1: 1 op, 59200.00 ns, 59.2000 us/op
WorkloadWarmup   2: 1 op, 26900.00 ns, 26.9000 us/op
WorkloadWarmup   3: 1 op, 33800.00 ns, 33.8000 us/op
WorkloadWarmup   4: 1 op, 22300.00 ns, 22.3000 us/op
WorkloadWarmup   5: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadWarmup   6: 1 op, 28100.00 ns, 28.1000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 26300.00 ns, 26.3000 us/op
WorkloadActual   2: 1 op, 30200.00 ns, 30.2000 us/op
WorkloadActual   3: 1 op, 30400.00 ns, 30.4000 us/op
WorkloadActual   4: 1 op, 29500.00 ns, 29.5000 us/op
WorkloadActual   5: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadActual   6: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadActual   7: 1 op, 27000.00 ns, 27.0000 us/op
WorkloadActual   8: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadActual   9: 1 op, 44900.00 ns, 44.9000 us/op
WorkloadActual  10: 1 op, 25100.00 ns, 25.1000 us/op
WorkloadActual  11: 1 op, 32400.00 ns, 32.4000 us/op
WorkloadActual  12: 1 op, 41800.00 ns, 41.8000 us/op
WorkloadActual  13: 1 op, 27500.00 ns, 27.5000 us/op
WorkloadActual  14: 1 op, 26000.00 ns, 26.0000 us/op
WorkloadActual  15: 1 op, 21400.00 ns, 21.4000 us/op
WorkloadActual  16: 1 op, 32200.00 ns, 32.2000 us/op
WorkloadActual  17: 1 op, 34200.00 ns, 34.2000 us/op
WorkloadActual  18: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadActual  19: 1 op, 34300.00 ns, 34.3000 us/op
WorkloadActual  20: 1 op, 30800.00 ns, 30.8000 us/op
WorkloadActual  21: 1 op, 49900.00 ns, 49.9000 us/op
WorkloadActual  22: 1 op, 26400.00 ns, 26.4000 us/op
WorkloadActual  23: 1 op, 26800.00 ns, 26.8000 us/op
WorkloadActual  24: 1 op, 25100.00 ns, 25.1000 us/op
WorkloadActual  25: 1 op, 40800.00 ns, 40.8000 us/op
WorkloadActual  26: 1 op, 33300.00 ns, 33.3000 us/op
WorkloadActual  27: 1 op, 24300.00 ns, 24.3000 us/op
WorkloadActual  28: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadActual  29: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadActual  30: 1 op, 27100.00 ns, 27.1000 us/op
WorkloadActual  31: 1 op, 27300.00 ns, 27.3000 us/op
WorkloadActual  32: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual  33: 1 op, 30700.00 ns, 30.7000 us/op
WorkloadActual  34: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadActual  35: 1 op, 39600.00 ns, 39.6000 us/op
WorkloadActual  36: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadActual  37: 1 op, 19600.00 ns, 19.6000 us/op
WorkloadActual  38: 1 op, 55100.00 ns, 55.1000 us/op
WorkloadActual  39: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadActual  40: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadActual  41: 1 op, 24700.00 ns, 24.7000 us/op
WorkloadActual  42: 1 op, 64700.00 ns, 64.7000 us/op
WorkloadActual  43: 1 op, 26600.00 ns, 26.6000 us/op
WorkloadActual  44: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  45: 1 op, 26700.00 ns, 26.7000 us/op
WorkloadActual  46: 1 op, 28700.00 ns, 28.7000 us/op
WorkloadActual  47: 1 op, 31500.00 ns, 31.5000 us/op
WorkloadActual  48: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadActual  49: 1 op, 23400.00 ns, 23.4000 us/op
WorkloadActual  50: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadActual  51: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadActual  52: 1 op, 34600.00 ns, 34.6000 us/op
WorkloadActual  53: 1 op, 23700.00 ns, 23.7000 us/op
WorkloadActual  54: 1 op, 36700.00 ns, 36.7000 us/op
WorkloadActual  55: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadActual  56: 1 op, 39100.00 ns, 39.1000 us/op
WorkloadActual  57: 1 op, 54100.00 ns, 54.1000 us/op
WorkloadActual  58: 1 op, 38900.00 ns, 38.9000 us/op
WorkloadActual  59: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadActual  60: 1 op, 53400.00 ns, 53.4000 us/op
WorkloadActual  61: 1 op, 52000.00 ns, 52.0000 us/op
WorkloadActual  62: 1 op, 41900.00 ns, 41.9000 us/op
WorkloadActual  63: 1 op, 36900.00 ns, 36.9000 us/op
WorkloadActual  64: 1 op, 51000.00 ns, 51.0000 us/op
WorkloadActual  65: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadActual  66: 1 op, 42400.00 ns, 42.4000 us/op
WorkloadActual  67: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadActual  68: 1 op, 90300.00 ns, 90.3000 us/op
WorkloadActual  69: 1 op, 127400.00 ns, 127.4000 us/op
WorkloadActual  70: 1 op, 43400.00 ns, 43.4000 us/op
WorkloadActual  71: 1 op, 35200.00 ns, 35.2000 us/op
WorkloadActual  72: 1 op, 37700.00 ns, 37.7000 us/op
WorkloadActual  73: 1 op, 45400.00 ns, 45.4000 us/op
WorkloadActual  74: 1 op, 43800.00 ns, 43.8000 us/op
WorkloadActual  75: 1 op, 28900.00 ns, 28.9000 us/op
WorkloadActual  76: 1 op, 56800.00 ns, 56.8000 us/op
WorkloadActual  77: 1 op, 32300.00 ns, 32.3000 us/op
WorkloadActual  78: 1 op, 27500.00 ns, 27.5000 us/op
WorkloadActual  79: 1 op, 35500.00 ns, 35.5000 us/op
WorkloadActual  80: 1 op, 47100.00 ns, 47.1000 us/op
WorkloadActual  81: 1 op, 52500.00 ns, 52.5000 us/op
WorkloadActual  82: 1 op, 27800.00 ns, 27.8000 us/op
WorkloadActual  83: 1 op, 32600.00 ns, 32.6000 us/op
WorkloadActual  84: 1 op, 69200.00 ns, 69.2000 us/op
WorkloadActual  85: 1 op, 35700.00 ns, 35.7000 us/op
WorkloadActual  86: 1 op, 48000.00 ns, 48.0000 us/op
WorkloadActual  87: 1 op, 26500.00 ns, 26.5000 us/op
WorkloadActual  88: 1 op, 47000.00 ns, 47.0000 us/op
WorkloadActual  89: 1 op, 28400.00 ns, 28.4000 us/op
WorkloadActual  90: 1 op, 27700.00 ns, 27.7000 us/op
WorkloadActual  91: 1 op, 26400.00 ns, 26.4000 us/op
WorkloadActual  92: 1 op, 26000.00 ns, 26.0000 us/op
WorkloadActual  93: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadActual  94: 1 op, 38600.00 ns, 38.6000 us/op
WorkloadActual  95: 1 op, 36400.00 ns, 36.4000 us/op
WorkloadActual  96: 1 op, 31800.00 ns, 31.8000 us/op
WorkloadActual  97: 1 op, 68700.00 ns, 68.7000 us/op
WorkloadActual  98: 1 op, 26800.00 ns, 26.8000 us/op
WorkloadActual  99: 1 op, 26200.00 ns, 26.2000 us/op
WorkloadActual  100: 1 op, 30700.00 ns, 30.7000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 26300.00 ns, 26.3000 us/op
WorkloadResult   2: 1 op, 30200.00 ns, 30.2000 us/op
WorkloadResult   3: 1 op, 30400.00 ns, 30.4000 us/op
WorkloadResult   4: 1 op, 29500.00 ns, 29.5000 us/op
WorkloadResult   5: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult   6: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult   7: 1 op, 27000.00 ns, 27.0000 us/op
WorkloadResult   8: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadResult   9: 1 op, 44900.00 ns, 44.9000 us/op
WorkloadResult  10: 1 op, 25100.00 ns, 25.1000 us/op
WorkloadResult  11: 1 op, 32400.00 ns, 32.4000 us/op
WorkloadResult  12: 1 op, 41800.00 ns, 41.8000 us/op
WorkloadResult  13: 1 op, 27500.00 ns, 27.5000 us/op
WorkloadResult  14: 1 op, 26000.00 ns, 26.0000 us/op
WorkloadResult  15: 1 op, 21400.00 ns, 21.4000 us/op
WorkloadResult  16: 1 op, 32200.00 ns, 32.2000 us/op
WorkloadResult  17: 1 op, 34200.00 ns, 34.2000 us/op
WorkloadResult  18: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadResult  19: 1 op, 34300.00 ns, 34.3000 us/op
WorkloadResult  20: 1 op, 30800.00 ns, 30.8000 us/op
WorkloadResult  21: 1 op, 49900.00 ns, 49.9000 us/op
WorkloadResult  22: 1 op, 26400.00 ns, 26.4000 us/op
